time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,,Magnitude,Difference,Square,Moving Average,Peaks above .32 and in between the start and end phases,Steps(1 if step),Total Steps
0,-0.985400856,3.363505602,6.0025177,2.157279968,0.819638133,-1.597709417,2.799987793,-25.5559082,-17.61639404,,6.950856316,0,0,,,0,65
0.010040283,-0.526604891,2.129471779,8.971743584,0.038370293,-0.314426124,-1.431437135,2.799987793,-25.5559082,-17.61639404,,9.236024345,2.285168029,5.221992922,,,0,
0.020019531,-0.623603225,2.089804173,8.962312698,0.086333558,-0.071412131,-0.364520967,2.799987793,-25.5559082,-17.61639404,,9.223839296,-0.012185049,0.000148475,,,0,
0.030212402,-0.720601499,2.053579569,8.9102211,0.070345536,-0.031975776,-0.025580462,2.599990845,-25.65496826,-18.39503479,,9.172158722,-0.051680575,0.002670882,,,0,
0.04019165,-0.336051166,1.942211151,9.082063675,0.063950755,-0.002132127,-0.00106633,2.599990845,-25.65496826,-18.39503479,,9.293492085,0.121333364,0.014721785,,,0,
0.050201416,-0.49442184,1.803749084,9.0275774,0.052226186,0.002131594,0,2.599990845,-25.65496826,-18.39503479,,9.219279659,-0.074212426,0.005507484,,,0,
0.060180664,-0.587827623,2.10911417,9.313033104,0.030909447,-0.004263721,0.004263188,2.599990845,-25.25875854,-18.1030426,,9.566947763,0.347668104,0.12087311,,,0,
0.070159912,-0.385598153,1.929637313,9.079070091,0.013855628,-0.002132127,0.003197391,2.599990845,-25.25875854,-18.1030426,,9.289870818,-0.277076944,0.076771633,,,0,
0.080169678,-0.372126162,1.917213082,9.326355934,0.007460579,-0.017053818,0.004263188,2.599990845,-25.25875854,-18.1030426,,9.528646226,0.238775408,0.057013695,,,0,
0.090148926,-0.397273868,1.742376685,9.180708885,0.017053019,-0.042634279,0.008526376,2.5,-25.15969849,-17.90838623,,9.353027247,-0.175618979,0.030842026,,,0,
0.100128173,-0.460741878,1.921404362,9.315877914,0.035172634,-0.058622036,0.005328985,2.5,-25.15969849,-17.90838623,,9.52311184,0.170084593,0.028928769,0.505406435,,0,
0.110107422,-0.319585413,1.940414906,9.104966164,0.061818894,-0.052226719,0,2.5,-25.15969849,-17.90838623,,9.314921024,-0.208190816,0.043343416,0.509346745,,0,
0.120117187,-0.433498532,2.01870203,9.22202301,0.066082351,-0.06501735,0.004263188,2.799987793,-25.4568634,-17.90838623,,9.450332654,0.13541163,0.018336309,0.036287053,,0,
0.130096435,-0.228125617,1.820214868,8.96081543,0.053291984,-0.06501735,0.013855628,2.799987793,-25.4568634,-17.90838623,,9.146662595,-0.303670059,0.092215505,0.044656783,,0,
0.140075683,-0.435743868,1.838925958,8.972491264,0.043699279,-0.044766139,0.012789831,2.799987793,-25.4568634,-17.90838623,,9.169357714,0.022695119,0.000515068,0.0444608,,0,
0.150085449,-0.421673119,2.143093348,9.073980331,0.034106839,-0.026646258,0.013855628,2.799987793,-25.5559082,-18.97898865,,9.333154685,0.163796971,0.026829448,0.045561497,,0,
0.160064697,-0.397423565,1.95059371,9.020690918,0.024514131,-0.035173167,0.022382537,2.799987793,-25.5559082,-18.97898865,,9.237728398,-0.095426287,0.009106176,0.045888651,,0,
0.170074463,-0.249980167,1.907333732,9.072034836,0.022382537,-0.041568484,0.027712055,2.799987793,-25.5559082,-18.97898865,,9.273738626,0.036010229,0.001296737,0.035018071,,0,
0.180023193,-0.533490598,1.88817358,9.179810524,0.025579929,-0.045831937,0.028777853,3,-25.25875854,-17.81105042,,9.387157874,0.113419247,0.012863926,0.029208279,,0,
0.190032959,-0.499361575,1.941013694,9.049282074,0.025579929,-0.044766139,0.029843649,3,-25.25875854,-17.81105042,,9.268570666,-0.118587207,0.014062926,0.025303664,,0,
0.200042724,-0.261206806,2.020947456,8.819659233,0.024514131,-0.033041574,0.030909447,3,-25.25875854,-17.81105042,,9.052007877,-0.216562789,0.046899442,0.026763429,,0,
0.21005249,-0.389939129,1.818119168,9.021888733,0.012789831,-0.040502686,0.031975243,2.699996948,-25.15969849,-18.39503479,,9.211519209,0.159511332,0.025443865,0.02644662,,0,
0.220001221,-0.299227744,2.077679396,9.031169891,-0.005329518,-0.035173167,0.033041041,2.699996948,-25.15969849,-18.39503479,,9.271910187,0.060390978,0.00364707,0.022837861,,0,
0.229980469,-0.333656162,2.141147375,9.12846756,-0.018119881,-0.03090998,0.031975243,2.699996948,-25.15969849,-18.39503479,,9.38215106,0.110240872,0.01215305,0.022275747,,0,
0.239959716,-0.324525148,2.096689939,9.107061386,-0.015988022,-0.034107372,0.027712055,2.299987793,-25.5559082,-18.00570679,,9.350935374,-0.031215686,0.000974419,0.013981102,,0,
0.249969483,-0.459544361,1.877545595,9.305997849,0.001065797,-0.037305295,0.027712055,2.299987793,-25.5559082,-18.00570679,,9.504628054,0.15369268,0.02362144,0.016081682,,0,
0.25994873,-0.416284323,1.78369081,9.024882317,0.014921425,-0.037305295,0.028777853,2.299987793,-25.5559082,-18.00570679,,9.208873241,-0.295754812,0.087470909,0.021594542,,0,
0.269958496,-0.407901764,1.783541083,9.28085041,0.027712055,-0.031975776,0.025579929,2.5,-25.4568634,-17.71372986,,9.459470756,0.250597515,0.062799115,0.026475718,,0,
0.279937744,-0.358055413,2.03950882,9.114097595,0.028777853,-0.025580462,0.024514131,2.5,-25.4568634,-17.71372986,,9.346366935,-0.113103821,0.012792474,0.027520785,,0,
0.289916992,-0.387993157,1.782493234,9.102122307,0.012789831,-0.031975776,0.030909447,2.5,-25.65496826,-17.71372986,,9.283127237,-0.063239697,0.003999259,0.026714906,,0,
0.299926758,-0.408799887,1.927541614,9.045689583,-0.00106633,-0.03090998,0.031975243,2.5,-25.65496826,-17.71372986,,9.257809355,-0.025317883,0.000640995,0.025494731,,0,
0.309906006,-0.480650485,2.022444248,9.223669052,-0.005329518,-0.013856427,0.029843649,2.699996948,-25.15969849,-17.90838623,,9.455018583,0.197209228,0.03889148,0.024766734,,0,
0.319885254,-0.290396124,1.927841067,9.337283134,-0.008526909,-0.003197924,0.029843649,2.699996948,-25.15969849,-17.90838623,,9.538645471,0.083626888,0.006993456,0.023089424,,0,
0.329895019,-0.258063346,2.22661972,9.292975426,-0.009593239,-0.004263721,0.026645726,2.699996948,-25.15969849,-17.90838623,,9.559488707,0.020843236,0.00043444,0.022797367,,0,
0.339874267,-0.245788872,2.087708473,9.346862793,-0.004263721,-0.015988022,0.026645726,2.299987793,-25.5559082,-18.00570679,,9.580333131,0.020844425,0.00043449,0.021732043,,0,
0.349884033,-0.24953109,2.057770729,9.059161186,0.006394783,-0.03090998,0.028777853,2.299987793,-25.5559082,-18.00570679,,9.29328185,-0.287051282,0.082398438,0.029134227,,0,
0.359863281,-0.408799887,2.011067867,9.20286274,0.021316741,-0.03837109,0.027712055,2.299987793,-25.5559082,-18.00570679,,9.428902053,0.135620203,0.018392839,0.0286589,,0,
